,id_estacao,data_fundacao,latitude,longitude,municipio
181,A368,2018-03-15,-3.73222221,-41.01194444,2313401
182,A369,2018-03-20,-4.97888888,-39.05722222,2311306
183,A203,2003-01-29,-2.52666666,-44.21361111,2111300
184,A204,2007-10-26,-7.45555555,-46.02749999,2101400
185,A205,2007-12-04,-7.337269,-47.459839,2102804
186,A206,2008-09-17,-3.74277777,-43.35222222,2103208
187,A207,2008-09-10,-5.81611111,-46.16222222,2104800
188,A217,2008-11-28,-2.27083332,-43.62416666,2105005
189,A218,2008-11-22,-2.59222221,-42.7075,2101707
190,A219,2008-06-10,-1.66111111,-45.37249999,2112407
191,A220,2008-07-09,-4.24305555,-44.79499999,2101202
192,A221,2008-03-06,-5.50666666,-45.23694444,2101608
193,A222,2008-06-03,-6.03305554,-44.23333333,2103505
194,A223,2008-06-03,-9.10833333,-45.93194443,2100501
195,A224,2008-02-27,-6.65333333,-47.41833332,2104057
196,A225,2008-03-01,-5.555723,-47.459794,2105302
197,A237,2008-07-13,-4.82138888,-43.3436111,2103000
198,A238,2008-09-11,-4.32055554,-46.44944444,2102325
199,A255,2019-09-18,-3.26916666,-45.65111111,2114007
200,A310,2004-11-16,-6.975451,-35.718128,2501104
201,A313,2006-12-22,-7.225574,-35.904831,2504009
202,A320,2007-07-21,-7.16527777,-34.81555555,2507507
203,A321,2007-07-21,-7.07972221,-37.27277777,2510808
204,A333,2007-11-06,-6.835777,-38.311583,2516201
205,A334,2007-08-22,-7.89444444,-37.12472221,2509701
206,A348,2008-02-28,-7.48333333,-36.28638888,2503100
207,A352,2008-05-04,-6.56194444,-35.13527777,2508901
208,A373,2017-11-03,-7.31833332,-38.14083333,2507002
209,A301,2004-12-22,-8.05916666,-34.95916666,2611606
210,A307,2003-02-21,-9.388323,-40.523262,2611101
211,A309,2004-11-20,-8.4336111,-37.05555555,2601201
212,A322,2007-07-08,-8.91095,-36.493381,2606002
213,A328,2008-03-09,-7.83972221,-35.80111111,2614501
214,A329,2007-09-04,-8.504,-39.31528,2603009
215,A341,2007-11-21,-8.36527777,-36.02833332,2604106
216,A349,2008-10-14,-8.50944444,-37.71166666,2606606
217,A350,2008-07-09,-7.954277,-38.295082,2613909
218,A351,2008-09-15,-8.59888888,-38.58416666,2605707
219,A357,2008-09-04,-8.66666666,-35.56805554,2610004
220,A366,2010-08-11,-7.88583333,-40.10277777,2609907
221,A370,2017-09-15,-8.05805555,-39.0961111,2612208
222,A308,2003-02-06,-3.08666666,-41.78305554,2207702
223,A311,2004-11-18,-6.76138888,-43.00333333,2203909
224,A312,2004-11-24,-5.03472221,-42.80138888,2211001
225,A326,2007-07-17,-9.08333333,-44.32638888,2201903
226,A330,2007-08-31,-8.132288,-41.142945,2207801
227,A331,2007-08-26,-8.36444444,-42.2525,2210003
228,A335,2007-08-31,-4.276047,-41.794568,2208403
229,A336,2007-11-17,-8.44166666,-43.86555555,2200459
230,A337,2007-11-10,-9.28583333,-43.32444443,2202505
231,A343,2008-12-12,-7.0711111,-41.40416666,2208007
232,A345,2008-02-27,-9.03333333,-42.70111111,2210607
233,A346,2008-03-06,-7.44138888,-44.34499999,2211209
234,A354,2008-07-22,-6.97416666,-42.14694444,2207009
235,A361,2009-04-20,-5.34916666,-41.51222222,2202604
236,A363,2009-04-18,-6.39916666,-41.73999999,2211308
237,A364,2009-05-16,-9.87527777,-45.34583333,2204402
238,A365,2010-06-12,-8.117939,-42.975721,2202307
239,A374,2018-03-28,-10.42916666,-45.17305554,2202901
240,A375,2018-03-23,-8.333531,-45.094625,2201150
241,A376,2018-11-23,-4.86416666,-42.14555555,2202208
242,A377,2019-11-14,-6.08944444,-42.72749999,2200608
