,id_municipio,latitude,longitude,uf,regiao
327,3107703,-19.7054,-43.4782,MG,Sudeste
328,3107802,-19.836,-42.3165,MG,Sudeste
329,3107901,-22.4675,-46.144,MG,Sudeste
330,3108008,-21.0329,-44.7537,MG,Sudeste
331,3108107,-20.3302,-44.2366,MG,Sudeste
332,3108206,-16.568,-45.9839,MG,Sudeste
333,3108255,-15.3231,-44.7543,MG,Sudeste
334,3108305,-22.2707,-46.1653,MG,Sudeste
335,3108404,-21.6412,-46.391,MG,Sudeste
336,3108503,-16.8657,-43.0086,MG,Sudeste
337,3108701,-20.8419,-43.2406,MG,Sudeste
338,3108552,-16.9999,-46.0081,MG,Sudeste
339,3108602,-16.2104,-44.4299,MG,Sudeste
340,3108800,-19.0562,-42.7099,MG,Sudeste
341,3108909,-22.4743,-45.6166,MG,Sudeste
342,3109006,-20.151,-44.2007,MG,Sudeste
343,3109105,-22.4383,-46.3491,MG,Sudeste
344,3109204,-17.8744,-44.1775,MG,Sudeste
345,3109253,-19.4231,-42.2552,MG,Sudeste
346,3109303,-15.6218,-46.4221,MG,Sudeste
347,3109402,-17.3656,-44.9606,MG,Sudeste
348,3109451,-16.0335,-47.0862,MG,Sudeste
349,3109501,-21.4699,-46.3919,MG,Sudeste
350,3109600,-19.521,-44.4544,MG,Sudeste
351,3109709,-22.3511,-45.7809,MG,Sudeste
352,3102704,-15.9688,-41.4948,MG,Sudeste
353,3109808,-18.5161,-49.5039,MG,Sudeste
354,3109907,-19.2971,-44.4189,MG,Sudeste
355,3110004,-19.8826,-43.6704,MG,Sudeste
356,3110103,-20.6956,-41.9292,MG,Sudeste
357,3110202,-20.7903,-42.7925,MG,Sudeste
358,3110301,-21.9183,-46.3843,MG,Sudeste
359,3110400,-20.6294,-45.1593,MG,Sudeste
360,3110509,-22.7515,-46.1494,MG,Sudeste
361,3110608,-22.6115,-46.0572,MG,Sudeste
362,3110707,-21.854,-45.2896,MG,Sudeste
363,3110806,-18.2427,-41.7355,MG,Sudeste
364,3110905,-21.836,-45.4004,MG,Sudeste
365,3111002,-21.7079,-46.2381,MG,Sudeste
366,3111101,-19.5382,-49.4862,MG,Sudeste
367,3111150,-16.5028,-44.8096,MG,Sudeste
368,3111200,-20.8932,-45.2699,MG,Sudeste
369,3111309,-21.1127,-45.8273,MG,Sudeste
370,3111408,-19.7631,-48.5716,MG,Sudeste
371,3111507,-19.6914,-46.1725,MG,Sudeste
372,3111606,-21.237,-45.7569,MG,Sudeste
373,3111903,-21.0232,-45.1801,MG,Sudeste
374,3111705,-20.6869,-42.6167,MG,Sudeste
375,3111804,-18.7212,-49.2035,MG,Sudeste
376,3112000,-20.7692,-45.2765,MG,Sudeste
377,3112059,-18.5248,-42.6223,MG,Sudeste
378,3112109,-20.5289,-41.9061,MG,Sudeste
379,3112208,-20.9179,-43.622,MG,Sudeste
380,3112307,-17.6888,-42.5147,MG,Sudeste
381,3112406,-20.6163,-47.0571,MG,Sudeste
382,3112505,-19.5471,-44.1304,MG,Sudeste
383,3112604,-18.6862,-49.5706,MG,Sudeste
384,3112653,-19.0748,-41.8614,MG,Sudeste
385,3112703,-16.3265,-43.7084,MG,Sudeste
386,3112802,-20.6164,-46.0493,MG,Sudeste
387,3112901,-20.1703,-42.2683,MG,Sudeste
388,3113008,-17.1862,-41.7004,MG,Sudeste
389,3113107,-20.8707,-43.7417,MG,Sudeste
390,3113206,-20.9566,-43.811,MG,Sudeste
391,3113305,-20.7343,-42.0313,MG,Sudeste
392,3113404,-19.7868,-42.1292,MG,Sudeste
393,3113503,-17.5255,-43.0137,MG,Sudeste
394,3113602,-22.0424,-45.696,MG,Sudeste
395,3113701,-17.6973,-40.7723,MG,Sudeste
396,3113800,-19.0877,-43.1382,MG,Sudeste
397,3113909,-21.4633,-45.2201,MG,Sudeste
398,3114006,-20.5575,-44.8735,MG,Sudeste
399,3114105,-22.1204,-45.1307,MG,Sudeste
400,3114204,-20.1912,-44.7664,MG,Sudeste
401,3114303,-18.991,-46.3167,MG,Sudeste
402,3114402,-20.9736,-46.1149,MG,Sudeste
403,3114501,-20.5396,-44.6336,MG,Sudeste
404,3114550,-19.6987,-50.6894,MG,Sudeste
405,3114600,-21.4898,-44.6446,MG,Sudeste
406,3114709,-21.7735,-45.8421,MG,Sudeste
407,3114808,-22.0,-44.4632,MG,Sudeste
408,3114907,-20.7925,-43.9343,MG,Sudeste
409,3115003,-18.5772,-47.8716,MG,Sudeste
410,3115102,-20.5831,-46.9201,MG,Sudeste
411,3115300,-21.3924,-42.6896,MG,Sudeste
412,3115359,-20.0734,-43.4061,MG,Sudeste
413,3115409,-20.6901,-43.4939,MG,Sudeste
414,3115458,-17.3018,-41.5276,MG,Sudeste
