id_municipio,ano,turno,tratamento,abstencao,passe_livre,populacao,competitividade,pib_pc,ideb,beneficiados,pib_governo,eleitores_secao
3170206,2002,1,1,0.1338509929616629,0,529441,0.8852591145193829,10173.447776050589,NA,1.5830009508033989,0.10098286322968114,349.84728033472805
3170206,2006,1,1,0.14509396806370137,0,600368,2.289743306828892,15379.05449490979,3.6,1.606361573697504,0.09459280424390444,347.02321262766947
3170206,2010,1,1,0.1539099610067352,0,604013,1.0289549801465758,31374.45303164005,4.5,1.4274205364527943,0.07686587446091635,352.03826955074874
3170206,2014,1,1,0.17664487038844595,0,654681,4.942050290409647,43366.06230820812,4.6,1.4137657749483885,0.08127821191359158,358.97364341085273
3170206,2018,1,1,0.1448648950112936,0,683247,1.03352112805947,5490.489853596137,4.7,1.4655882863964067,0.8062767683385359,300.7696774193548
3170206,2022,1,1,0.1917353708087892,1,706597,27.19468686943167,53257.42515040398,5.4,1.3678180054860072,0.07992460209286326,319.07782581840644
3303500,2002,1,0,0.14068984374655452,0,780343,0.5620161716928584,5431.086920751516,NA,1.7207350042117426,0.339527615982654,355.9607535321821
3303500,2006,1,0,0.13348966267247203,0,844583,1.1349732632416696,7331.3025552254785,3.1,1.6884028419154542,0.034353135885473667,353.2669491525424
3303500,2010,1,0,0.16611626892641287,0,796257,1.0688748878276433,12738.121327661798,3.1,1.459238801757852,0.3049734861098035,358.0485564304462
3303500,2014,1,0,0.18910272606093345,0,806177,1.2983455879196908,18254.76054514083,3.4,1.404722035877018,0.30393075349078474,354.48116121062384
3303500,2018,1,0,0.2187684321281236,0,818875,0.6742580228683615,20600.785908716225,3.6,1.391917825217106,0.03154186002220204,354.61543098251957
3303500,2022,1,0,0.2064779181951847,0,825388,2.1276980357093973,2084.2283083834513,4.4,1.3499282829951376,3.2601648830953196,366.34571599760335
3503208,2002,1,1,0.14458197646042198,0,187363,2.2297222586032985,11825.803910056948,NA,1.4991318680439427,0.0103229499369283,534.1068376068376
3503208,2006,1,1,0.15584359566070696,0,199657,1.6017654043891334,17014.61961764426,4.8,1.4353383512699405,0.09794879317619684,447.2700964630225
3503208,2010,1,1,0.16931206433607132,0,208662,9.946974861999204,26235.91003153425,4.6,1.3799849212332844,0.10102413026762828,371.5135135135135
3503208,2014,1,1,0.20898690592257096,0,224304,3.031760467420661,35385.35461249019,4.5,1.384097051672858,0.10437067710585568,344.07218683651803
3503208,2018,1,1,0.23788992696177785,0,233744,0.8885438629228474,40271.18297795879,5,1.4016622491934614,0.1065708048552841,332.195219123506
3503208,2022,1,1,0.24060684881683217,1,240542,13.703772639299997,44403.11046303764,5.4,1.3255778069237636,0.11227697005245114,313.94809688581313
3526704,2002,1,0,0.13912898936170212,0,83396,1.1637199183790097,7081.018178329896,NA,1.5402630023640662,0.00146659621859596,510.79245283018867
3526704,2006,1,0,0.1476409172008194,0,90027,2.6527684814095327,10574.888922212223,4.4,1.487262935306945,0.13712155249198807,435.4820143884892
3526704,2010,1,0,0.15628525443359756,0,91756,9.898370535691438,17813.802170975196,4.7,1.3801838119161869,0.12521042527464055,357.4247311827957
3526704,2014,1,0,0.17770981991165477,0,98460,1.0958859027521073,25844.69923826935,4.9,1.393985728848114,0.01329554053721249,369.8010471204189
3526704,2018,1,0,0.21692897800952785,0,102412,0.6097698248334158,31290.08713822599,5.3,1.3979442798837003,0.12290595427214228,355.626213592233
3526704,2022,1,0,0.2231122037617141,0,105273,1.672397513116853,35787.23132237136,5.6,1.391450890201832,0.11444343205087164,361.9952153110048
4321204,2002,1,1,0.11873477940760038,0,55004,6.559149253790644,5165.47698349211,NA,1.557569235997055,0.01681268169490182,301.8290598290598
4321204,2006,1,1,0.14146277639670288,0,60481,1.238309095566953,689.5005208247218,3.4,1.5826507915739894,1.770873577014797,308.18548387096774
4321204,2010,1,1,0.15277006211807484,0,54643,35.62997669777766,14168.538367219957,3.7,1.3798040503004898,0.1751399367719497,309.390625
4321204,2014,1,1,0.1688534641324341,0,57072,12.772149039012692,19961.921712924024,3.7,1.3996811771919069,0.18359521556704791,313.65384615384613
4321204,2018,1,1,0.196000672963684,0,57292,0.7503558936297773,22848.58311806186,4.2,1.376979835123897,0.19773077944423537,308.2
4321204,2022,1,1,0.2032047307930755,1,57740,1.658395379681061,24309.88301004503,5.3,1.376794315417998,0.1975992051794267,315.3233082706767
2930501,2002,1,0,0.2309773489932886,0,72313,0.6539946207761443,2197.5691507751026,NA,1.516631711409396,0.2958080574721166,322.1621621621622
2930501,2006,1,0,0.20761639920437208,0,75544,0.608206041839994,3822.8709361431743,2.1,1.458857153892204,0.2878063780073837,269.703125
2930501,2010,1,0,0.15026592992694687,0,76762,0.6837332320388813,6917.077408092546,2.5,1.588584673330436,0.2654254103145847,268.45
2930501,2014,1,0,0.1921812739859344,0,82733,0.6535507596681401,8499.909649112204,3.1,1.5191795662792191,0.2907870557850406,288.14285714285717
2930501,2018,1,0,0.14257276591165868,0,80411,0.8142566643956345,10809.219770926864,3,1.4420652427323757,0.2902716046889661,322.3179190751445
2930501,2022,1,0,0.16808469182308242,0,81693,0.8236896227045415,12384.325915317102,3.1,1.3264434630122752,0.29287290765817453,298.97087378640776
3503307,2002,1,1,0.11993867550031484,0,107718,1.7793550768687354,13367.595397240944,NA,1.4744983163139596,0.08858569320492708,537.1617647058823
3503307,2006,1,1,0.13234500686678438,0,116566,0.9804957639129782,18911.42955064084,4.3,1.429345693545223,0.0912365911572094,424.75
3503307,2010,1,1,0.15963923083835024,0,118843,1.6195084903065775,27024.0996272393,4.9,1.3348346661874382,0.09187654423691707,399.2466367713005
3503307,2014,1,1,0.1724955793441547,0,127661,0.9764301931099802,34241.836809988956,5.1,1.351725379329331,0.01008103788135467,382.36032388663966
