,id_municipio,razao_dependencia,taxa_envelhecimento,expectativa_anos_estudo,taxa_analfabetismo_18_mais,indice_gini,prop_pobreza_extrema,renda_pc,taxa_desocupacao_18_mais,taxa_ocupados_carteira,taxa_agua_encanada,populacao,populacao_urbana,populacao_rural,idhm
2711,3542909,47.93,8.83,11.03,10.11,0.46,0.29,673.96,5.71,69.28,99.12,12135,11220,915,0.712
2712,3543006,56.05,6.2,9.93,13.34,0.46,9.6,318.44,10.96,39.96,89.31,18269,9293,8976,0.639
2713,3546405,46.21,10.0,9.84,5.77,0.46,0.33,818.3,4.73,54.54,98.89,43921,40154,3767,0.762
2714,3549508,51.32,7.49,10.39,11.97,0.46,2.45,548.31,6.72,67.9,98.28,8406,7485,921,0.693
2715,3550407,46.85,10.96,9.73,5.49,0.46,0.49,803.02,4.06,47.33,98.47,31662,26607,5055,0.755
2716,3551702,39.19,6.72,10.15,5.67,0.46,0.6,953.23,6.25,64.04,99.71,110074,108772,1302,0.761
2717,3553708,44.32,9.76,10.93,7.6,0.46,0.98,739.25,5.47,56.42,99.71,53988,51168,2820,0.748
2718,3554607,49.58,11.83,10.9,10.84,0.46,1.45,580.24,2.84,28.14,96.47,2646,1924,722,0.71
2719,3555802,44.1,12.39,11.37,9.46,0.46,1.42,739.08,6.66,38.36,99.54,8836,7436,1400,0.746
2720,4101507,41.23,8.09,10.64,5.3,0.46,0.49,855.02,4.07,61.88,99.06,104150,101851,2299,0.748
2721,4101804,42.52,4.53,10.4,3.81,0.46,0.83,814.39,5.78,66.99,98.37,119123,110205,8918,0.74
2722,4103107,54.25,7.04,9.99,9.77,0.46,2.09,547.26,3.31,44.44,83.88,10987,5128,5859,0.64
2723,4103156,54.06,10.99,10.97,11.03,0.46,7.72,430.51,1.72,20.22,95.72,3796,933,2863,0.697
2724,4103909,49.43,9.56,10.47,14.02,0.46,2.9,540.04,5.53,30.96,96.69,15394,12557,2837,0.704
2725,4104600,47.74,8.58,10.21,10.28,0.46,1.03,670.16,5.94,39.33,87.74,14970,11490,3480,0.716
2726,4107652,47.49,3.78,9.45,4.8,0.46,1.62,677.31,5.48,64.1,99.25,81675,75928,5747,0.72
2727,4107850,48.99,8.34,10.89,12.07,0.46,3.24,549.7,1.7,24.97,92.84,4726,1644,3082,0.682
2728,4108957,46.75,6.84,10.3,7.92,0.46,2.49,478.34,1.55,15.47,88.61,7900,2236,5664,0.669
2729,4109005,45.51,8.35,10.07,13.53,0.46,3.04,505.91,4.04,43.81,96.39,3891,2900,991,0.702
2730,4109658,51.5,6.21,9.71,10.21,0.46,6.87,443.83,1.49,18.64,90.04,5955,1988,3967,0.683
2731,4110052,49.63,10.65,11.85,12.83,0.46,2.36,523.94,3.71,25.92,91.91,2234,1438,796,0.703
2732,4112108,44.19,10.78,11.47,7.79,0.46,0.65,803.28,3.29,46.98,97.37,20269,18331,1938,0.747
2733,4113007,45.34,9.06,12.28,7.57,0.46,1.28,688.1,3.34,63.17,99.43,6610,5924,686,0.718
2734,4113759,49.52,11.2,10.19,17.21,0.46,5.35,471.99,2.24,22.46,90.28,5160,3594,1566,0.69
2735,4113908,44.97,8.78,11.07,3.51,0.46,5.11,552.86,2.95,32.08,95.04,12973,7570,5403,0.708
2736,4114302,50.42,6.98,9.95,7.13,0.46,2.72,539.68,5.8,38.84,95.52,22220,7414,14806,0.655
2737,4115101,52.87,9.54,10.05,18.9,0.46,4.1,466.87,4.3,43.42,97.15,10224,8467,1757,0.639
2738,4115507,44.16,10.3,10.35,13.93,0.46,1.15,642.72,3.69,51.35,90.52,4603,3141,1462,0.721
2739,4115606,46.12,7.71,10.5,7.21,0.46,1.7,683.91,3.8,41.2,97.52,16078,11613,4465,0.725
2740,4116901,45.12,9.77,9.45,9.32,0.46,0.78,719.26,4.43,44.75,94.0,26615,24323,2292,0.722
2741,4117255,46.36,8.73,11.21,10.98,0.46,3.68,668.06,2.95,25.03,95.46,10377,6067,4310,0.716
2742,4122800,52.42,9.72,12.16,11.57,0.46,3.35,557.15,1.94,18.41,92.06,4403,2254,2149,0.7
2743,4123006,45.1,7.94,10.18,10.5,0.46,1.64,650.57,2.09,36.38,94.74,13689,7431,6258,0.718
2744,4125753,47.96,10.12,10.54,12.52,0.46,2.61,573.84,4.17,39.6,97.07,6491,4055,2436,0.683
2745,4127700,39.44,6.84,11.59,4.89,0.46,0.78,876.72,3.85,57.78,99.22,119313,108259,11054,0.768
2746,4128005,44.67,10.06,10.27,10.27,0.46,1.81,648.36,3.69,35.59,97.51,21558,18397,3161,0.739
2747,4200705,43.07,7.22,10.04,10.14,0.46,7.02,630.54,1.89,22.62,66.68,9410,2868,6542,0.668
2748,4200754,47.1,13.57,10.72,4.24,0.46,3.47,770.49,2.37,27.45,89.53,2005,605,1400,0.755
2749,4202131,47.3,6.35,11.14,5.87,0.46,11.67,389.28,1.71,17.1,96.55,6004,847,5157,0.675
2750,4202404,35.53,6.3,9.97,1.84,0.46,0.12,1253.17,2.3,68.19,97.89,309011,294773,14238,0.806
2751,4202602,51.41,7.43,9.05,10.99,0.46,1.22,638.85,3.7,42.96,90.47,8942,6417,2525,0.699
2752,4203402,49.93,8.51,8.95,15.43,0.46,3.98,450.29,2.2,26.6,89.37,7483,4406,3077,0.641
2753,4203600,46.2,7.29,10.03,7.1,0.46,1.9,708.77,3.58,48.1,95.59,32824,27064,5760,0.742
