,id_municipio,pib,va_agropecuaria,va_industria,va_servicos,va_adespss,ano
212,1503903,69605363,3070334,2854152,10562449,23366327,2002
213,1504000,72760291,50410149,1005603,4262604,16210801,2002
214,1504059,51480898,10402121,2525347,16113798,20249748,2002
215,1504109,11321908,2866788,791365,2014784,5405151,2002
216,1504208,796210954,25310691,121940329,383338185,152512357,2002
217,1504307,39716897,11141818,1616627,6286483,19950041,2002
218,1504406,44553198,10412206,2275368,10368295,2049695,2002
219,1504422,254348555,1412634,98911683,7352915,58575636,2002
220,1504455,131860112,85039326,7937281,19486789,1695293,2002
221,1504505,26880825,5149854,1152636,2875794,17115336,2002
222,1504604,44924481,15634218,1721921,8620324,17859584,2002
223,1504703,121463196,3960412,9783383,2128696,44704209,2002
224,1504802,140114956,4944503,6643386,2856196,50986092,2002
225,1504901,47807617,19397038,1723824,558407,20178056,2002
226,1504950,29398159,7478133,1942335,3951995,15482211,2002
227,1504976,21110011,3969176,2598928,4030273,9687721,2002
228,1505007,21935091,5337685,1248355,5127255,9652705,2002
229,1505031,82490495,18799609,20023533,1716258,22477747,2002
230,1505064,106564498,29952282,11004587,20019582,41296899,2002
231,1505106,13123512,5447678,10789587,25669137,35920353,2002
232,1505205,44007457,17049568,1229361,528791,19671605,2002
233,1505304,594774847,46778045,264883785,171944056,4783808,2002
234,1505403,31416769,11549126,1633322,6388939,11149965,2002
235,1505437,48350164,15541804,2181945,10441418,1719884,2002
236,1505486,75303712,37850268,3202083,10786935,21761628,2002
237,1505494,13223774,4470989,426642,2095535,5958483,2002
238,1505502,540232008,209096229,119394435,113017613,6597582,2002
239,1505536,139640652,14900772,882331919,320115903,86161796,2002
240,1505551,18827739,8555792,526556,2411666,6966208,2002
241,1505601,134573,2879211,658241,2598299,6987466,2002
242,1505635,52055096,30760466,4634026,5512809,9801418,2002
243,1505650,51657081,30060511,3982251,6165412,10569072,2002
244,1505700,36762981,1684251,953928,4539799,13686684,2002
245,1505809,105648421,20714236,27574002,20347279,31457156,2002
246,1505908,48263756,14230902,4634605,7892932,19872947,2002
247,1506005,66770014,28231662,7073616,7056037,23031752,2002
248,1506104,14605619,190878,637922,3227826,8420002,2002
249,1506112,17775175,67134,553408,2693276,7492699,2002
250,1506138,338505624,25427206,110645216,112603225,56229739,2002
251,1506161,56189824,21080335,514702,144966,12865825,2002
252,1506187,147373529,33469699,33321536,37028356,35423241,2002
253,1506195,55189142,19082345,3768896,9458664,21405175,2002
254,1506203,71501615,3998297,5989057,32602558,25178882,2002
255,1506302,2834131,6428426,1373475,6945587,12772776,2002
256,1506351,32703339,7815818,8519806,5762695,9124996,2002
257,1506401,14455652,7540523,697501,147316,448029,2002
258,1506500,158815063,24759267,33351839,47920433,39497382,2002
259,1506559,29102869,4601878,1528313,6018101,16110937,2002
260,1506583,47840972,31368285,1189236,4298086,10284491,2002
261,1506609,51026349,12000642,3070812,16609782,15530925,2002
262,1506708,123460649,32440407,32773052,24420917,25860758,2002
263,1506807,82919109,85310765,131190895,347240455,197256258,2002
264,1506906,11028327,2671616,890456,1927942,5213679,2002
265,1507003,66572647,26154315,7075869,12500962,18312227,2002
266,1507102,28199772,1129892,1101859,4404248,10826477,2002
267,1507151,4183909,8315413,1880334,10523572,19537108,2002
268,1507201,39525531,9782571,1636803,6356115,20932914,2002
269,1507300,173716467,108252273,5795637,23442248,32508143,2002
270,1507409,2704991,8752399,1279222,5320493,11077844,2002
271,1507458,69846273,24752121,4147754,15193508,22397057,2002
272,1507466,11521054,4684228,786623,1905309,3871015,2002
273,1507474,25638428,5564826,1085964,4930851,13254537,2002
274,1507508,20302716,4912283,890125,313201,10977184,2002
275,1507607,123496533,33389457,23943041,26002776,34493426,2002
276,1507706,35990525,11944476,3581176,4850297,14577628,2002
277,1507755,28453687,18192195,1917267,3939081,3721692,2002
278,1507805,29681809,763722,4908369,4656337,11565014,2002
279,1507904,44034713,11372846,217099,11150861,17781573,2002
280,1507953,145878336,23027587,37095211,37381759,35297431,2002
281,1507961,13416121,2869059,585052,2585217,7028065,2002
282,1507979,25729305,6187348,12778,5313526,12353574,2002
283,1508001,14819416,3253219,34129253,33886642,3921234,2002
284,1508035,36013614,13495869,134375,4352613,16268069,2002
285,1508050,3569062,15541613,3844812,4490408,10815087,2002
286,1508084,96651793,30352047,9250462,29258291,21768762,2002
287,1508100,1148637136,14905571,876345316,113738462,91037433,2002
288,1508126,327904002,213870288,48468959,39630358,17764761,2002
289,1508159,141728605,48435892,29148189,23636378,35464167,2002
290,1508209,67898997,15686445,406826,18577521,26666416,2002
291,1508308,86951569,27158232,6446399,12919267,38688423,2002
292,1508357,45151669,25531577,1803956,6960817,9227858,2002
293,1508407,173508334,34555633,19107501,7214916,28307792,2002
294,1600055,14263855,448497,630788,2614369,9761895,2002
295,1600105,2776849,3995393,901176,4196973,1810601,2002
296,1600154,20885952,1163487,2051381,2853678,13260075,2002
297,1600204,26856941,1982806,1464433,5222367,17523457,2002
298,1600212,13212307,2122631,324269,1358647,9159585,2002
299,1600238,20964888,852606,6267709,2738758,1074283,2002
300,1600253,12619197,1568561,578654,1251664,9022398,2002
301,1600279,128267714,2164288,10365681,3164632,79200009,2002
302,1600303,2171527031,6607566,198602151,1018232924,78874797,2002
303,1600402,58294769,4015646,11242945,10462367,31681575,2002
304,1600501,67038218,2687372,4196946,23025071,34094028,2002
305,1600535,51966529,3177296,3943988,12351525,31159308,2002
306,1600550,10627385,2436459,307337,895578,6791855,2002
307,1600600,485572845,2318233,78768244,161532682,219068271,2002
308,1600709,2746494,4603596,755921,2936685,18680186,2002
309,1600808,36011617,104538,166455,5254329,27102192,2002
310,1700251,6246008,172165,309195,1122966,2845111,2002
311,1700301,11948508,1174813,738939,4344623,4012748,2002
312,1700350,2129837,2943661,1453709,8296602,6335141,2002
313,1700400,21591559,5235042,1709232,4766793,877968,2002
314,1700707,34056753,4411445,3141449,14890279,8598747,2002
315,1701002,27699276,6597211,970413,7384626,10963649,2002
316,1701051,6794348,1526181,447108,1319593,328546,2002
317,1701101,1026797,2687701,985948,238412,3632292,2002
